File,First Sentence
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk15n__10-04-21-11-21-06_transcript.txt, pojavio se u poslednjem trenutku
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk16n__10-04-21-11-21-59_transcript.txt, Sanjao sam te pre neku noć
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk17n__10-04-21-11-22-18_transcript.txt, premijer je obećao viši standard
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk18n__10-04-21-11-22-35_transcript.txt, Opet je pijaca poskupela
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk19n__10-04-21-11-22-54_transcript.txt, večeras najavljuju padavine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk20n__10-04-21-11-23-30_transcript.txt, u ponedeljak putujem na frušku Goru
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk21n__10-04-21-11-23-59_transcript.txt, moja karta važi još dva dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk22n__10-04-21-11-24-57_transcript.txt, našu kosu stara 10 godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk23n__10-04-21-11-25-19_transcript.txt, sutra se završava školska godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk24n__10-04-21-11-25-34_transcript.txt, preko leta ću biti u Beogradu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk25n__10-04-21-11-25-51_transcript.txt, nismo u kontaktu više od godinu dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk26n__10-04-21-11-26-43_transcript.txt, u braku smo već devet godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk27n__10-04-21-11-27-23_transcript.txt, za osam minuta počinje predstava
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk28n__10-04-21-11-27-39_transcript.txt, večeras mora da donese odluku o njegovoj smeni
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk29n__10-04-21-11-28-19_transcript.txt, po toj aferi novine su pisale danima
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/1/2_1_1_mvmk30n__10-04-21-11-28-35_transcript.txt, dugo vremena nismo ovde bili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd01r__10-04-21-11-33-30_transcript.txt, imamo još četiri minuta vremena do polaska voza
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd02r__10-04-21-11-33-51_transcript.txt, to ćemo sve raditi ponovo pa šta ispadne
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd03r__10-04-21-11-35-40_transcript.txt, kompjuteri su prodali u sve oblasti i bez njih se ne može
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd04r__10-04-21-11-42-40_transcript.txt, to je u inostranstvo prošle godine i još se nije vratio
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd05r__10-04-21-11-43-58_transcript.txt, telefon zvoni po ceo dan i tebe traže
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd06r__10-04-21-11-44-27_transcript.txt, popeću se na drvo ako mi mama ne vidi
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd07r__10-04-21-11-45-06_transcript.txt, uvek se setim tebe kad čujem tu pesmu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd08r__10-04-21-11-46-37_transcript.txt, Da da tako smo se dogovorili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd09r__10-04-21-11-47-38_transcript.txt, znam znam Pa meni sto puta pričam
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd10r__10-04-21-11-49-53_transcript.txt, Mirjana je rekao da će se uskoro vratiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd11r__10-04-21-11-50-22_transcript.txt, na more Idemo u isto mesto kao i prošle godine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd12r__10-04-21-11-50-53_transcript.txt, slavit ćemo imati preko 50 gostiju
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd13r__10-04-21-11-51-16_transcript.txt, raspitaću se pa ću ti javiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd14r__10-04-21-11-52-09_transcript.txt, Šta oblačimo se Kada će padati kiša
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd15r__10-04-21-11-52-52_transcript.txt, sećam se kad i ulicu Kneza Miloša saobraćaj tramvaj
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd16r__10-04-21-11-53-20_transcript.txt, Mladen najviše uticaja imaju lica sa estrade kao i sporta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd17r__10-04-21-11-54-04_transcript.txt, čim se on će doneti robu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd18r__10-04-21-11-54-28_transcript.txt, nazvat ću te ponovo otprilike za sat vremena
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd19r__10-04-21-11-55-35_transcript.txt, igraonica preko puta naše zgrade
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd20r__10-04-21-11-57-11_transcript.txt, javio se i otišao je na aerodrom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd21r__10-04-21-11-57-37_transcript.txt, što sam stigao odmah sam morao da odem na sastanak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd22r__10-04-21-11-58-22_transcript.txt, Ja sam krenuo da učim a on me pozvao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd23r__10-04-21-11-59-35_transcript.txt, Strpi se još malo samo što nismo stigli
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd24r__11-04-21-12-00-46_transcript.txt, ovi klinci su nemoguć i niko ih ne može obuzdati
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd25r__11-04-21-12-02-04_transcript.txt, joj je ušao u voz nekoliko minuta pre nas
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd26r__11-04-21-12-02-49_transcript.txt, gotovo je sve možete početi sa pričom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd27r__11-04-21-12-04-55_transcript.txt, Kada završiš sa sastankom jačine rezultate
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd28r__11-04-21-12-05-39_transcript.txt, malopre sam se čuo sa njim i on mi je sve ispričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd29r__11-04-21-12-06-31_transcript.txt, kada se vratim sa posla svratiću do tebe
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd30r__11-04-21-12-07-10_transcript.txt, Upravo su mi javili da treba da dođem sutra
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd31r__11-04-21-12-09-34_transcript.txt, prevoz je ulicu nas prema one tek renovirane buregdžinice
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_0_okzd32r__11-04-21-12-10-15_transcript.txt, dok se saginje onoga ne zgazi ljubim Ford
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk04r__11-04-21-12-11-27_transcript.txt, pisaću mu pismo
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk05r__11-04-21-12-12-51_transcript.txt, Krećemo za 5 minuta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk06r__11-04-21-12-13-39_transcript.txt, doći će nam Mirko na ručak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk07r__11-04-21-12-14-43_transcript.txt, još malo pa će izbori
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk08r__11-04-21-12-15-52_transcript.txt, će biti 27 u hladu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk09r__11-04-21-12-17-35_transcript.txt, domaće žurka kod komšije
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk10r__11-04-21-12-17-56_transcript.txt, za dva dana počinje škola
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk11r__11-04-21-12-18-56_transcript.txt, od sutra jer smo sami u kući
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk12r__11-04-21-12-21-17_transcript.txt, će doći u ponedeljak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk13r__11-04-21-12-21-34_transcript.txt, moj sin ide prvi put sam na moje
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk14r__11-04-21-12-22-54_transcript.txt, demonstracije su opet počele
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk15r__11-04-21-12-23-14_transcript.txt, javio se u poslednjem trenutku
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk16r__11-04-21-12-23-30_transcript.txt, Sanjao sam te pre neku noć
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk17r__11-04-21-12-24-17_transcript.txt, premijer je obećao viši standard
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk18r__11-04-21-12-24-35_transcript.txt, kupiti pijacu poskupela
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk19r__11-04-21-12-27-49_transcript.txt, pesme javljaju padavine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk20r__11-04-21-12-28-26_transcript.txt, ponedeljak putem na frušku Goru
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk21r__11-04-21-12-28-42_transcript.txt, moja Kaj je to baciš dva dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk22r__11-04-21-12-29-02_transcript.txt, ko stara 10 godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk23r__11-04-21-12-30-17_transcript.txt, sutra se završava školska godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk24r__11-04-21-12-31-14_transcript.txt, leti ću biti u Beogradu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk25r__11-04-21-12-31-30_transcript.txt, Mi smo u kontaktu više od godinu dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk26r__11-04-21-12-32-29_transcript.txt, kako smo već devet godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk27r__11-04-21-12-33-25_transcript.txt, osam minuta počinje predstava
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk28r__11-04-21-12-33-54_transcript.txt, mora da donese odluku o njegovoj smeni
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk29r__11-04-21-12-35-26_transcript.txt, futur filmovi nisu pisali danima
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1033/2/3_2_1_okzk30r__11-04-21-12-37-17_transcript.txt, nemoj da mi smo ovde bili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD01L__15-04-21-05-00-02_transcript.txt, četiri minuta vremena do polaska voza
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD02L__15-04-21-05-01-53_transcript.txt, sutra ćemo to raditi ponovo pa šta ispadne
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD03L__15-04-21-05-02-15_transcript.txt, super Da li sve oblasti bez njih se ne može
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD04L__15-04-21-05-02-56_transcript.txt, inostranstvo prošle godine i još se nije vratio
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD05L__15-04-21-05-03-12_transcript.txt, telefon zvoni po ceo dan i tebe traže
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD06L__15-04-21-05-03-36_transcript.txt, cena drva ako mi mama ne vidi
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD07L__15-04-21-05-04-03_transcript.txt, uvek se setim tebe kad čujem tu pesmu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD08L__15-04-21-05-04-23_transcript.txt, Da da tako smo se dogovorili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD09L__15-04-21-05-04-37_transcript.txt, znam Pa meni je 100 puta pričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD10L__15-04-21-05-05-05_transcript.txt, Miljana rekla da će se uskoro vratiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD11L__15-04-21-05-05-47_transcript.txt, na more Idemo isto mesto kao i prošle godine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD12L__15-04-21-05-06-02_transcript.txt, ćemo imati preko 50 gostiju
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD13L__15-04-21-05-06-23_transcript.txt, raspitaću se pa ću ti javiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD14L__15-04-21-05-06-54_transcript.txt, naoblačilo se kao da će padati kiša
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD15L__15-04-21-05-07-56_transcript.txt, sam se kada je ulicu Kneza Miloša saobraćao tramvaj
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD16L__15-04-21-05-08-23_transcript.txt, mladi najviše djeca imaju lica sa estrade kao i sporta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD17L__15-04-21-05-09-09_transcript.txt, tim uplate on će doneti robu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD18L__15-04-21-05-09-20_transcript.txt, pazite ponovo otprilike za sat vremena
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD19L__15-04-21-05-09-31_transcript.txt, vrste igraonica preko puta naše zgrade
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD20L__15-04-21-05-09-54_transcript.txt, javio se i otišao je na aerodrom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD21L__15-04-21-05-10-06_transcript.txt, samo što sam stigao odmah sam morao da odem na sastanak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD22L__15-04-21-05-10-19_transcript.txt, Taman sam krenula da učim a on me pozvao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD23L__15-04-21-05-15-15_transcript.txt, Strpi se još malo samo što nismo stigli
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD24L__16-04-21-01-18-19_transcript.txt, rekli su nemoguće niko ih ne može obuzdati
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD25L__16-04-21-11-29-27_transcript.txt, Milan je ušao u voz nekoliko minuta pre nas
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD26L__16-04-21-11-30-04_transcript.txt, gotovo je sve možete početi sa pričom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD27L__16-04-21-11-30-32_transcript.txt, kad završe sa sastankom Javiće nam rezultate
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD28L__16-04-21-11-31-42_transcript.txt, malopre sam zato snimio mi je sve ispričala
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD29L__16-04-21-11-31-55_transcript.txt, se vratim sa posla svratiću do tebe
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD30L__16-04-21-11-32-20_transcript.txt, Upravo su mi javili da treba da dođem sutra
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD31L__16-04-21-11-33-40_transcript.txt, pazi ulicu da sam moj tek renovirane buregdžinice
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_0_MMMD32L__16-04-21-11-34-36_transcript.txt, se saginje Umalo da ga ne zgazi ljubim Ford
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK04L__16-04-21-11-34-59_transcript.txt, napisaću mu pismo
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK05L__16-04-21-11-35-43_transcript.txt, Krećemo za 5 minuta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK06L__16-04-21-11-36-00_transcript.txt, doći će na Mirko na ručak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK07L__16-04-21-11-36-19_transcript.txt, malo pa će izbori
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK08L__16-04-21-11-36-28_transcript.txt, uzroci biti 27 u hladu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK09L__16-04-21-11-36-57_transcript.txt, doveče je žurka kod komšije
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK10L__16-04-21-11-37-32_transcript.txt, dva dana počinje škola
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK11L__16-04-21-11-37-54_transcript.txt, od sutra smo sami u kući
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK12L__16-04-21-11-38-11_transcript.txt, Petar će doći u ponedeljak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK13L__16-04-21-11-38-51_transcript.txt, moj sin ide prvi put sam na more
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK14L__16-04-21-11-39-13_transcript.txt, demonstracije su opet poče
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK15L__16-04-21-11-39-35_transcript.txt, javio se u poslednjem trenutku
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK16L__16-04-21-11-39-46_transcript.txt, Sanjala sam te pre neku noć
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK17L__16-04-21-11-40-12_transcript.txt, premijer je obećao viši standard
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK18L__16-04-21-11-40-34_transcript.txt, Opet je pijaca poskupela
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK19L__16-04-21-11-40-53_transcript.txt, večeras najavljuju padavine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK20L__16-04-21-11-41-14_transcript.txt, ponedeljak putujem na frušku Goru
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK21L__16-04-21-11-41-44_transcript.txt, moja karta važi još dva dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK22L__16-04-21-11-41-56_transcript.txt, za kola su stara 10 godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK23L__16-04-21-11-42-09_transcript.txt, sutra se završava školska godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK24L__16-04-21-11-42-25_transcript.txt, leteći biti Beograd
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK25L__16-04-21-11-42-42_transcript.txt, nismo u kontaktu više od godinu dana
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK26L__16-04-21-11-43-45_transcript.txt, u braku smo već devet godina
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK27L__16-04-21-11-44-05_transcript.txt, za osam minuta počinje predstava
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK28L__16-04-21-11-44-17_transcript.txt, mora da donese odluku o njegovoj smeni
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK29L__16-04-21-11-44-39_transcript.txt, to je aferi novine su pisala jedan
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/0/1_0_1_MMMK30L__16-04-21-11-44-57_transcript.txt, dugo vremena nismo ovde bili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd01n__12-04-21-02-20-20_transcript.txt, imamo još četiri minuta vremena do polaska voza
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd02n__12-04-21-02-20-51_transcript.txt, sutra ćemo sve raditi ponovo pa šta ispadne
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd03n__12-04-21-02-22-09_transcript.txt, kompjuteri su prozor ali u sve oblasti i bez njih se ne može
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd04n__12-04-21-02-22-31_transcript.txt, Otišao je u inostranstvo prošle godine i još se nije vratio
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd05n__12-04-21-02-22-53_transcript.txt, telefoni zvone po ceo dan i tebe traže
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd06n__12-04-21-02-23-11_transcript.txt, pobeđuje se na drvo ako mi mama ne vidi
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd07n__12-04-21-02-23-28_transcript.txt, uvek se setim tebe kad čujem tu pesmu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd08n__12-04-21-02-23-45_transcript.txt, Da da tako smo se dogovorili
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd09n__12-04-21-02-24-04_transcript.txt, znam znam Pa meni je 100 puta pričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd10n__12-04-21-02-24-22_transcript.txt, Miljana rekla da će se uskoro vratiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd11n__12-04-21-02-24-39_transcript.txt, more Idemo isto mesto kao i prošle godine
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd12n__12-04-21-02-24-57_transcript.txt, na slavi ćemo imati preko 50 gostiju
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd13n__12-04-21-02-25-13_transcript.txt, raspitaću se pa ću ti javiti
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd14n__12-04-21-02-25-30_transcript.txt, bacila se kao da će padati kiša
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd15n__12-04-21-02-26-11_transcript.txt, sećam se kada je ulica Kneza Miloša saobraćao tramvaj
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd16n__12-04-21-02-26-32_transcript.txt, na mlade najviše uticaj imaju lica sa estrade kao i sporta
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd17n__12-04-21-02-26-49_transcript.txt, tim uplate on će doneti robu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd18n__12-04-21-02-27-04_transcript.txt, nazvaću te ponovo odprilike za sat vremena
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd19n__12-04-21-02-27-23_transcript.txt, otvara se igraonica preko puta naše zgrade
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd20n__12-04-21-02-28-09_transcript.txt, javio se i otišao je na aerodrom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd21n__12-04-21-02-28-30_transcript.txt, samo što sam stigao odmah sam morao da odem na sastanak
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd22n__12-04-21-02-28-46_transcript.txt, Taman sam krenula da učim a on mi pozdrav
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd23n__12-04-21-02-29-00_transcript.txt, Strpi se još malo samo što nismo stigli
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd24n__12-04-21-02-29-15_transcript.txt, Klinci su nemoguć i niko ih ne može obuzdati
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd25n__12-04-21-02-29-31_transcript.txt, Milan je ušao u voz nekoliko minuta pre nas
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd26n__12-04-21-02-30-38_transcript.txt, gotovo je sve možete početi sa pričom
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd27n__12-04-21-02-30-54_transcript.txt, Kada završiš sa sastankom Javiće nam rezultate
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd28n__12-04-21-02-31-26_transcript.txt, malopre sam se čuo sa njim i on mi je sve ispričao
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd29n__12-04-21-02-32-07_transcript.txt, kada se vratim sa posla svratiću do tebe
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd30n__12-04-21-02-32-23_transcript.txt, Upravo su mi javili da treba da dođem sutra
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd31n__12-04-21-02-32-50_transcript.txt, prelazi ulicu naspram one tek renoviranje buregdžinice
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_0_mvmd32n__12-04-21-02-33-19_transcript.txt, dok se saginje Umalo da ga ne zgazi ljubim sport
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_1_mvmk01n__12-04-21-02-33-35_transcript.txt, Vratiću se brzo
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_1_mvmk02n__12-04-21-02-33-46_transcript.txt, ne idem danas u školu
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_1_mvmk03n__12-04-21-02-33-57_transcript.txt, spavaću ceo dan
/content/drive/MyDrive/PhD/Forced_alignment/transcript/1034/1/2_1_1_mvmk04n__12-04-21-02-34-15_transcript.txt, napisaću mu pismo
